cluster,gene_id,score,logfoldchange,pval,pval_adj,pct_expressed,gene_name_clean,is_significant,is_labeled
0,g22490_MEP1B_9,14.501838,5.101242,1.1794894350099928e-47,1.5717232853069522e-44,0.3333333333333333,MEP1B,True,True
0,g36792_FBN1_1,13.605331,4.994743,3.72279376743505e-42,2.8720374233191033e-39,0.15555555555555556,FBN1,True,True
0,g18090_SULT1C3_6,13.500242,4.8583517,1.5586273317808497e-41,1.0169414972153111e-38,0.32222222222222224,SULT1C3,True,True
0,g39470_FBN1_2,13.224287,4.635535,6.353684071580804e-40,3.582011581585824e-37,0.2222222222222222,FBN1,True,True
0,g19825_SLC6A7_2,12.8848915,4.334141,5.475270297438619e-38,2.6752170673285095e-35,0.3888888888888889,SLC6A7,True,True
0,g32920_SLC6A7_3,12.22347,4.316679,2.329253555721552e-34,8.754409902504233e-32,0.2111111111111111,SLC6A7,True,True
0,g26114_CRELD2_2,11.996663,3.4123058,3.699130107288693e-33,1.26097323517762e-30,0.35555555555555557,CRELD2,True,True
0,g39607_TMPRSS7_2,11.855852,5.1322856,2.006718796767654e-32,6.536552027337838e-30,0.36666666666666664,TMPRSS7,True,True
0,g12288_ABCA5,11.332515,3.4860451,9.056626061154198e-30,2.10717499689521e-27,0.17777777777777778,ABCA5,True,True
0,g14875_col6a6_5,11.239797,4.313562,2.599817031432843e-29,5.292794173158697e-27,0.1111111111111111,col6a6,True,True
0,g11735_SIM2,10.507022,3.21877,8.018570443446938e-26,1.1872343995964163e-23,0.17777777777777778,SIM2,True,True
0,g7230_MASP1_11,10.225599,2.922661,1.522830086355137e-24,2.0668188338697777e-22,0.6888888888888889,MASP1,True,True
0,g1315_FRMPD1,10.134937,2.572594,3.866231326827272e-24,5.105515206183257e-22,0.3,FRMPD1,True,True
0,g3871_FAM26E_1,10.125104,4.992426,4.275261187367722e-24,5.595248078967506e-22,0.14444444444444443,FAM26E,True,True
0,g12674_COL3A1,10.122627,4.457179,4.384844190012668e-24,5.687880189133247e-22,0.2111111111111111,COL3A1,True,True
0,g21855_Nr1h5_1,10.035659,3.2188048,1.0624747779737252e-23,1.318313308077923e-21,0.35555555555555557,Nr1h5,True,True
0,g16583_HSPG2_8,10.034211,3.1461737,1.0781725033454188e-23,1.318313308077923e-21,0.32222222222222224,HSPG2,True,True
0,g9338_MEGF6_1,9.887655,3.2448945,4.7092903209522124e-23,5.22945284276648e-21,0.17777777777777778,MEGF6,True,True
0,g19292_DMRT2_1,9.6582985,5.7048793,4.533312066714038e-22,4.670528228914361e-20,0.35555555555555557,DMRT2,True,True
0,g19730_FN1_3,9.547413,2.8733966,1.329757609286458e-21,1.3081602038201948e-19,0.1111111111111111,FN1,True,True
0,g36496_SLIT1,9.491519,2.8096943,2.276914190986964e-21,2.1813730857180992e-19,0.35555555555555557,SLIT1,True,True
0,g14794_RSPO4,9.307019,4.897156,1.314697447278123e-20,1.1969462846088651e-18,0.32222222222222224,RSPO4,True,True
0,g30479_CHMP2A,9.262165,2.646074,2.0032842861149162e-20,1.7904964064556366e-18,0.12222222222222222,CHMP2A,True,True
0,g6542_F11_2,9.100919,3.6852713,8.957051794483176e-20,7.633282860670604e-18,0.32222222222222224,F11,True,True
0,g18668_F11_3,9.019596,2.903454,1.8878405355239546e-19,1.4797843085406484e-17,0.13333333333333333,F11,True,True
0,g23996_FER1L6_2,8.926493,2.5989356,4.397294077895893e-19,3.319138399583891e-17,0.13333333333333333,FER1L6,True,True
0,g3369_Mmp1,8.913905,2.4855702,4.92660121780958e-19,3.665691403586438e-17,0.15555555555555556,Mmp1,True,True
0,g24308_NRP2_7,8.815525,2.4186587,1.1912525134352556e-18,8.394893914391335e-17,0.43333333333333335,NRP2,True,True
0,g39802_LAMB1_2,8.79889,2.4133973,1.3817597042735504e-18,9.690829543177847e-17,0.23333333333333334,LAMB1,True,True
0,g1638_EPHA5_1,8.728141,2.5831711,2.588939676232985e-18,1.7171347409150723e-16,0.17777777777777778,EPHA5,True,True
0,g1245_FCHSD2,8.706008,2.3359418,3.1476365488290294e-18,2.0597346666399962e-16,0.2222222222222222,FCHSD2,True,True
0,g31958_ANXA13_6,8.637897,2.877076,5.725752734058874e-18,3.6810562971857444e-16,0.4888888888888889,ANXA13,True,True
0,g576_EGR1,8.6362505,2.615169,5.808788471686129e-18,3.718131939649576e-16,0.36666666666666664,EGR1,True,True
0,g15409_MGST1_8,8.603449,3.0548213,7.735590329680293e-18,4.887425993640247e-16,0.5111111111111111,MGST1,True,True
0,g34614_GRID2IP_2,8.084571,2.2712078,6.238362774590689e-16,3.359084658623414e-14,0.12222222222222222,GRID2IP,True,True
0,g5088_SLC5A8_7,7.957832,3.5876217,1.7507987830487194e-15,8.941884516351264e-14,0.17777777777777778,SLC5A8,True,True
0,g2839_CHSY1_1,7.9307613,2.4975533,2.178066590342614e-15,1.1047093453716966e-13,0.23333333333333334,CHSY1,True,True
0,g19373_FOXO1,7.923243,4.7910624,2.313948361248839e-15,1.1695812096270856e-13,0.24444444444444444,FOXO1,True,True
0,g33047_ATL2_11,7.775976,4.5811005,7.48677687180559e-15,3.5061078398379023e-13,0.8111111111111111,ATL2,True,True
0,g4667_TANC2,7.775087,2.2221196,7.539567037360412e-15,3.5195851475678e-13,0.37777777777777777,TANC2,True,True
